Brand,Processor,RAM (GB),Screen Size (inch),Battery Life (hours),Weight (kg),Operating System,Storage_Type,Storage_Capacity,Resolution_Type,GPU_Model,Price_THB
MSI,Intel i3,8.0,17.3,9.7,2.05,Windows,HDD,1.0,2K,RTX 3080,48535.200000000004
HP,AMD Ryzen 5,32.0,17.3,10.4,1.45,Linux,SSD,512.0,2K,RX 6600,75915.35
Acer,AMD Ryzen 3,4.0,13.3,6.5,1.3,macOS,SSD,2.0,HD,RTX 3060,21478.8
Samsung,Intel i7,8.0,16.0,6.0,2.55,Linux,HDD,1.0,HD,RTX 3060,31817.45
Asus,AMD Ryzen 3,32.0,16.0,8.2,2.14,Windows,SSD,512.0,HD,RX 6600,41401.850000000006
Acer,AMD Ryzen 5,8.0,14.0,4.2,1.66,FreeDOS,SSD,512.0,HD,RX 6800,30123.1
Apple,Intel i3,4.0,13.3,6.7,1.65,macOS,SSD,2.0,2K,RX 6800,54785.85
HP,Intel i7,4.0,16.0,6.8,3.14,macOS,SSD,256.0,2K,RTX 3060,53363.8
HP,AMD Ryzen 5,16.0,14.0,8.5,3.42,FreeDOS,SSD,256.0,4K,,48701.1
Apple,AMD Ryzen 9,32.0,17.3,10.5,,Windows,SSD,512.0,2K,RTX 2060,191398.2
Lenovo,AMD Ryzen 9,32.0,16.0,11.4,3.16,Windows,SSD,256.0,4K,RTX 3060,169997.1
Razer,Intel i5,4.0,17.3,8.6,1.92,Windows,HDD,1.0,HD,RX 6600,31327.1
Microsoft,AMD Ryzen 5,64.0,16.0,5.8,2.16,Windows,SSD,512.0,HD,RX 6600,78513.75
HP,Intel i7,16.0,15.6,9.5,3.45,macOS,SSD,1.0,4K,RTX 3080,98754.25
HP,AMD Ryzen 5,64.0,13.3,4.1,1.34,FreeDOS,SSD,2.0,Full HD,RX 6800,80926.29999999999
Razer,AMD Ryzen 7,8.0,13.3,4.6,1.71,macOS,SSD,256.0,4K,RTX 2060,96067.3
Razer,Intel i3,32.0,15.6,5.4,1.83,Windows,HDD,1.0,HD,RTX 2060,50837.85
Apple,AMD Ryzen 5,16.0,13.3,8.6,2.54,Windows,SSD,256.0,HD,RTX 3080,51804.55
Apple,AMD Ryzen 5,32.0,16.0,10.5,1.37,macOS,SSD,256.0,4K,GTX 1650,148507.44999999998
Samsung,Intel i3,32.0,13.3,10.7,2.22,FreeDOS,SSD,1.0,2K,RTX 3080,53340.0
Acer,AMD Ryzen 5,8.0,16.0,7.9,1.34,Windows,SSD,1.0,Full HD,GTX 1650,40656.35
Acer,AMD Ryzen 3,,14.0,11.5,3.04,macOS,SSD,256.0,HD,GTX 1650,21551.6
HP,AMD Ryzen 3,32.0,17.3,6.3,2.89,macOS,SSD,2.0,Full HD,RTX 3080,52334.799999999996
Asus,Intel i7,8.0,13.3,5.3,2.36,macOS,SSD,2.0,4K,RX 6600,72231.6
MSI,AMD Ryzen 5,32.0,17.3,5.5,1.4,macOS,SSD,1.0,2K,RX 6600,100336.25
Apple,Intel i5,8.0,17.3,5.3,1.21,Linux,SSD,2.0,4K,RX 6800,98349.65
MSI,Intel i3,32.0,17.3,5.9,2.28,macOS,SSD,2.0,Full HD,RTX 3060,69392.40000000001
Razer,AMD Ryzen 9,8.0,15.6,7.8,2.06,macOS,SSD,2.0,2K,RX 6600,108642.45000000001
Samsung,Intel i9,64.0,13.3,8.9,3.48,Linux,SSD,2.0,HD,RTX 3060,110121.55
HP,Intel i3,4.0,16.0,6.4,2.83,FreeDOS,SSD,2.0,4K,RTX 2060,50340.15
Apple,AMD Ryzen 3,16.0,15.6,6.5,1.51,Linux,SSD,1.0,4K,RTX 2060,94748.15000000001
Asus,Intel i5,8.0,17.3,5.3,1.89,FreeDOS,SSD,2.0,HD,RX 6600,35639.799999999996
Razer,AMD Ryzen 7,4.0,15.6,5.5,2.92,Windows,SSD,2.0,2K,GTX 1650,72207.45000000001
Asus,AMD Ryzen 9,4.0,17.3,10.6,1.99,macOS,SSD,256.0,4K,RTX 3060,91213.85
MSI,Intel i5,4.0,17.3,11.8,1.39,FreeDOS,SSD,1.0,HD,RX 6600,42864.15
MSI,AMD Ryzen 7,32.0,15.6,10.3,1.3,Windows,SSD,512.0,2K,RX 6600,119745.84999999999
Acer,Intel i5,32.0,13.3,5.7,3.03,FreeDOS,SSD,2.0,Full HD,RTX 3080,51406.25
MSI,Intel i3,8.0,17.3,4.0,2.91,FreeDOS,SSD,1.0,2K,RX 6600,54418.0
MSI,Intel i9,32.0,16.0,5.5,2.87,macOS,SSD,256.0,Full HD,,84432.25
MSI,AMD Ryzen 9,64.0,13.3,8.0,2.54,Linux,SSD,2.0,HD,RX 6600,152216.4
Samsung,AMD Ryzen 9,4.0,14.0,9.0,2.9,FreeDOS,SSD,512.0,4K,RTX 3080,81796.05
Apple,Intel i3,16.0,16.0,11.3,1.26,Linux,SSD,256.0,Full HD,,40742.1
MSI,Intel i7,16.0,14.0,7.3,3.03,FreeDOS,HDD,1.0,4K,RTX 3080,91094.5
HP,AMD Ryzen 9,,14.0,10.1,3.05,FreeDOS,SSD,512.0,Full HD,RX 6600,57062.95
Microsoft,Intel i5,4.0,15.6,10.6,2.03,Linux,SSD,2.0,2K,RX 6600,42203.7
Samsung,Intel i5,64.0,13.3,11.8,2.55,Windows,SSD,2.0,HD,RX 6600,68110.35
Samsung,AMD Ryzen 3,64.0,15.6,6.3,2.83,Windows,SSD,1.0,Full HD,RTX 3080,71706.95
MSI,Intel i3,64.0,17.3,11.9,1.49,Windows,SSD,2.0,4K,,110341.35
Razer,AMD Ryzen 3,8.0,16.0,6.5,2.31,Windows,SSD,256.0,4K,GTX 1650,79630.25
Lenovo,AMD Ryzen 3,32.0,17.3,5.3,2.48,macOS,HDD,1.0,HD,,28211.05
Asus,Intel i7,4.0,16.0,10.6,2.26,FreeDOS,SSD,1.0,4K,GTX 1650,67844.0
Acer,Intel i7,16.0,13.3,6.3,2.11,Linux,SSD,2.0,2K,GTX 1650,68962.59999999999
Dell,AMD Ryzen 3,8.0,17.3,6.8,2.04,Linux,SSD,1.0,HD,,20054.65
MSI,Intel i7,16.0,14.0,4.2,1.32,Windows,SSD,2.0,2K,RTX 3060,81346.65000000001
Asus,AMD Ryzen 9,64.0,14.0,9.5,3.32,Windows,SSD,1.0,Full HD,RTX 2060,132691.65
Razer,Intel i9,64.0,17.3,10.0,2.03,macOS,SSD,2.0,2K,RTX 3060,267271.2
HP,AMD Ryzen 9,4.0,13.3,4.7,3.49,FreeDOS,SSD,512.0,2K,RTX 3080,61499.55
Apple,Intel i9,64.0,17.3,10.0,3.44,macOS,SSD,1.0,4K,,251468.0
Lenovo,Intel i7,8.0,13.3,5.5,2.02,Linux,HDD,1.0,HD,RX 6800,27123.95
Microsoft,Intel i3,32.0,15.6,11.9,1.64,Windows,HDD,1.0,Full HD,RX 6800,39147.15
Dell,Intel i3,4.0,13.3,10.6,1.27,Windows,HDD,1.0,Full HD,,14461.65
MSI,Intel i9,4.0,16.0,8.7,3.13,Linux,HDD,1.0,4K,RX 6800,104014.75
HP,Intel i5,4.0,15.6,6.5,1.63,macOS,SSD,256.0,2K,RTX 3060,45339.350000000006
Dell,AMD Ryzen 7,64.0,14.0,4.5,3.31,Windows,SSD,2.0,4K,,111700.40000000001
Dell,Intel i5,32.0,17.3,4.7,1.55,FreeDOS,SSD,1.0,2K,GTX 1650,71639.4
HP,AMD Ryzen 5,8.0,16.0,8.1,3.19,Windows,HDD,1.0,2K,GTX 1650,41376.65
Lenovo,Intel i7,8.0,16.0,9.4,3.24,FreeDOS,SSD,512.0,Full HD,RTX 2060,45118.85
Lenovo,AMD Ryzen 3,64.0,14.0,9.2,2.73,FreeDOS,SSD,512.0,2K,GTX 1650,86284.45
MSI,AMD Ryzen 3,64.0,13.3,5.5,1.29,Linux,SSD,256.0,4K,,100063.95
Acer,Intel i5,8.0,17.3,6.4,3.18,Windows,SSD,512.0,HD,RTX 3060,32278.75
Razer,Intel i3,4.0,16.0,8.9,2.05,macOS,SSD,512.0,4K,GTX 1650,70927.5
HP,Intel i5,4.0,15.6,7.9,2.88,FreeDOS,SSD,256.0,4K,,39041.450000000004
Samsung,AMD Ryzen 7,4.0,15.6,11.4,2.65,Linux,SSD,256.0,4K,RX 6800,76456.8
Dell,AMD Ryzen 3,16.0,16.0,11.0,2.38,Windows,HDD,1.0,2K,GTX 1650,39263.7
Microsoft,Intel i7,16.0,15.6,10.1,2.47,Linux,HDD,1.0,HD,RX 6800,44963.450000000004
HP,Intel i5,8.0,17.3,11.2,1.53,Windows,SSD,1.0,4K,GTX 1650,62903.75
Samsung,AMD Ryzen 3,32.0,13.3,6.2,2.33,Linux,SSD,512.0,HD,RTX 3080,37233.0
Razer,AMD Ryzen 7,16.0,13.3,8.6,3.11,FreeDOS,SSD,256.0,4K,,76112.4
HP,AMD Ryzen 7,16.0,14.0,9.1,1.67,FreeDOS,SSD,2.0,4K,RTX 3060,82296.20000000001
Acer,AMD Ryzen 9,64.0,15.6,5.0,3.41,macOS,HDD,1.0,2K,RX 6600,159201.0
MSI,AMD Ryzen 9,4.0,15.6,6.1,3.33,Windows,SSD,512.0,Full HD,RX 6600,79263.45
Lenovo,Intel i3,4.0,15.6,8.9,1.99,Windows,SSD,1.0,4K,RTX 3060,47468.4
Samsung,AMD Ryzen 3,8.0,16.0,8.8,1.7,FreeDOS,SSD,512.0,HD,RTX 3060,23842.0
Asus,AMD Ryzen 5,32.0,17.3,6.1,3.11,Windows,SSD,2.0,HD,RTX 3080,52755.5
Asus,Intel i5,8.0,13.3,8.0,1.59,Windows,SSD,2.0,2K,RTX 2060,46010.649999999994
Asus,Intel i9,64.0,17.3,7.1,1.46,macOS,SSD,1.0,HD,RTX 3080,130123.34999999999
Razer,Intel i5,64.0,,5.4,2.07,Windows,SSD,2.0,Full HD,,73200.75
MSI,Intel i7,4.0,16.0,8.6,3.21,Linux,SSD,512.0,4K,RTX 3060,96783.4
Microsoft,AMD Ryzen 5,16.0,16.0,9.7,2.4,Linux,SSD,2.0,4K,RTX 2060,80515.04999999999
HP,Intel i9,8.0,17.3,11.1,2.58,FreeDOS,HDD,1.0,Full HD,RTX 2060,53381.3
MSI,AMD Ryzen 3,32.0,17.3,11.2,2.73,FreeDOS,HDD,1.0,2K,RTX 2060,67830.7
Acer,AMD Ryzen 3,4.0,14.0,7.7,3.47,macOS,SSD,256.0,Full HD,,21591.85
Microsoft,AMD Ryzen 9,64.0,14.0,10.6,1.64,Windows,SSD,1.0,4K,RX 6800,225686.30000000002
Acer,AMD Ryzen 3,32.0,17.3,10.4,1.7,macOS,HDD,1.0,2K,RX 6600,53896.15
Samsung,AMD Ryzen 3,64.0,15.6,6.7,2.75,Windows,SSD,1.0,HD,RTX 3060,62214.6
Lenovo,Intel i3,8.0,13.3,9.3,2.61,FreeDOS,SSD,512.0,HD,RX 6800,20198.15
Dell,Intel i9,4.0,13.3,4.2,3.27,FreeDOS,SSD,256.0,Full HD,RTX 3060,54663.0
MSI,AMD Ryzen 3,16.0,17.3,6.6,2.47,Linux,SSD,1.0,2K,RX 6600,60074.350000000006
Microsoft,AMD Ryzen 7,4.0,16.0,8.2,3.2,Windows,SSD,1.0,4K,RTX 2060,73297.0
MSI,Intel i9,8.0,13.3,8.8,3.12,Linux,SSD,1.0,Full HD,GTX 1650,78964.2
Apple,AMD Ryzen 5,16.0,16.0,10.6,1.81,FreeDOS,SSD,512.0,HD,RX 6800,57602.299999999996
Asus,Intel i3,4.0,14.0,6.4,2.84,Windows,SSD,256.0,2K,RTX 2060,28511.7
Samsung,AMD Ryzen 5,8.0,17.3,4.3,3.33,Linux,SSD,1.0,Full HD,RTX 3060,41105.75
Apple,AMD Ryzen 3,64.0,14.0,7.6,2.25,Linux,SSD,2.0,Full HD,RX 6800,106656.90000000001
Apple,Intel i9,32.0,14.0,5.9,1.24,Linux,SSD,1.0,Full HD,RX 6600,136558.45
Lenovo,AMD Ryzen 7,32.0,16.0,10.3,1.81,FreeDOS,SSD,256.0,Full HD,RTX 2060,79514.75
Samsung,Intel i3,8.0,13.3,9.3,2.17,FreeDOS,SSD,256.0,2K,RTX 3060,37182.95
Lenovo,Intel i3,64.0,15.6,11.0,1.84,macOS,SSD,1.0,4K,GTX 1650,125206.90000000001
Acer,AMD Ryzen 5,8.0,14.0,4.2,2.0,FreeDOS,SSD,256.0,HD,,21417.55
Acer,Intel i5,16.0,16.0,5.6,1.45,macOS,SSD,1.0,4K,RX 6600,77234.85
MSI,Intel i5,16.0,14.0,8.7,2.05,Windows,SSD,2.0,4K,GTX 1650,94774.05
Microsoft,Intel i9,,16.0,6.1,2.16,Linux,SSD,512.0,4K,RX 6800,94471.29999999999
Samsung,AMD Ryzen 3,64.0,13.3,5.1,1.31,Windows,SSD,256.0,4K,,111602.75
Acer,Intel i5,4.0,17.3,7.0,2.57,macOS,SSD,256.0,HD,RTX 3060,34823.25
Apple,Intel i3,32.0,14.0,6.4,2.46,FreeDOS,SSD,2.0,Full HD,RTX 3080,73685.15
HP,AMD Ryzen 7,4.0,13.3,,,FreeDOS,HDD,1.0,Full HD,RTX 2060,33268.2
Dell,Intel i9,32.0,16.0,5.6,1.85,Linux,SSD,512.0,HD,RTX 2060,82957.35
Dell,Intel i7,32.0,15.6,6.5,2.38,macOS,SSD,512.0,HD,RTX 3080,65910.6
Samsung,Intel i3,,16.0,11.9,3.42,FreeDOS,SSD,512.0,2K,RTX 3060,50711.5
Asus,AMD Ryzen 9,64.0,17.3,6.0,1.63,FreeDOS,HDD,1.0,HD,RX 6600,103700.8
Microsoft,AMD Ryzen 5,64.0,14.0,8.4,2.69,Windows,SSD,2.0,HD,RTX 3060,66146.15000000001
Acer,Intel i3,4.0,13.3,4.0,2.97,FreeDOS,SSD,2.0,4K,GTX 1650,41580.7
Dell,Intel i3,32.0,14.0,10.5,2.52,Windows,HDD,1.0,4K,RTX 3060,64114.399999999994
Samsung,AMD Ryzen 3,32.0,16.0,7.4,2.34,FreeDOS,HDD,1.0,Full HD,RTX 2060,46205.25
MSI,AMD Ryzen 3,16.0,17.3,10.6,3.1,FreeDOS,SSD,256.0,4K,RTX 2060,86424.8
HP,AMD Ryzen 5,4.0,17.3,4.2,1.2,Linux,SSD,256.0,HD,,24974.6
Razer,AMD Ryzen 3,4.0,14.0,9.1,2.39,Windows,SSD,256.0,Full HD,RTX 3060,41949.6
Dell,Intel i5,64.0,13.3,8.5,2.17,macOS,SSD,2.0,4K,RTX 3060,133260.75
Microsoft,AMD Ryzen 5,8.0,14.0,5.9,3.44,Windows,SSD,1.0,Full HD,RX 6800,40329.45
Dell,Intel i5,4.0,15.6,7.5,1.25,Windows,SSD,2.0,2K,RTX 3060,47777.799999999996
Lenovo,AMD Ryzen 9,64.0,16.0,10.4,3.46,macOS,SSD,256.0,Full HD,RX 6600,152990.6
MSI,Intel i9,8.0,16.0,7.7,2.1,Linux,SSD,2.0,4K,GTX 1650,141630.3
MSI,AMD Ryzen 9,4.0,17.3,4.3,2.26,FreeDOS,SSD,1.0,2K,GTX 1650,96670.7
Samsung,Intel i5,8.0,16.0,11.7,1.37,macOS,SSD,2.0,HD,RTX 2060,28249.55
Apple,AMD Ryzen 5,4.0,15.6,10.7,2.22,macOS,SSD,512.0,4K,RX 6600,87406.55
Razer,AMD Ryzen 5,64.0,14.0,8.9,2.56,macOS,SSD,1.0,HD,RX 6600,99410.15
Dell,Intel i9,32.0,16.0,11.4,3.19,FreeDOS,SSD,256.0,HD,RTX 3060,81106.55
Lenovo,Intel i5,64.0,14.0,11.8,2.16,Windows,SSD,1.0,4K,RX 6800,142225.65
Asus,Intel i7,16.0,13.3,4.1,1.26,Windows,SSD,1.0,4K,RTX 3060,88411.05
Lenovo,Intel i3,64.0,15.6,6.0,1.83,macOS,SSD,2.0,Full HD,GTX 1650,81017.3
Razer,AMD Ryzen 5,64.0,15.6,4.3,2.53,macOS,SSD,512.0,HD,RX 6600,104798.05
Razer,Intel i5,32.0,17.3,5.4,1.56,Windows,SSD,256.0,HD,,51643.9
Razer,AMD Ryzen 5,8.0,14.0,5.0,2.66,Windows,SSD,2.0,Full HD,,37502.5
Lenovo,Intel i5,32.0,17.3,4.6,1.57,Windows,SSD,512.0,HD,RX 6800,55729.799999999996
Lenovo,AMD Ryzen 3,8.0,15.6,10.5,2.69,Linux,SSD,2.0,4K,RTX 3080,56662.9
MSI,AMD Ryzen 3,64.0,13.3,11.0,2.32,Windows,HDD,1.0,HD,RTX 2060,62655.25
Samsung,AMD Ryzen 3,4.0,17.3,5.6,1.27,macOS,SSD,2.0,HD,RX 6800,23241.75
MSI,Intel i9,16.0,15.6,5.7,2.38,FreeDOS,HDD,1.0,4K,RX 6800,141451.1
Dell,AMD Ryzen 9,16.0,13.3,7.6,1.53,FreeDOS,SSD,512.0,HD,,40448.450000000004
Apple,Intel i7,32.0,14.0,5.3,1.55,Linux,HDD,1.0,4K,RTX 3060,148024.45
HP,AMD Ryzen 9,32.0,14.0,9.9,2.24,Windows,SSD,512.0,2K,RTX 3060,116026.05
MSI,AMD Ryzen 3,4.0,16.0,8.3,2.96,macOS,SSD,1.0,HD,RTX 3080,27983.899999999998
Samsung,Intel i5,16.0,14.0,8.6,1.71,Windows,SSD,512.0,HD,RTX 2060,31447.5
Apple,AMD Ryzen 3,16.0,17.3,11.4,1.88,FreeDOS,SSD,1.0,Full HD,RTX 2060,54470.5
Apple,AMD Ryzen 5,8.0,14.0,6.9,1.39,Windows,SSD,2.0,HD,RTX 3060,39515.35
Samsung,AMD Ryzen 9,64.0,16.0,8.4,2.38,Linux,SSD,1.0,HD,GTX 1650,129793.3
HP,Intel i3,16.0,16.0,11.1,2.11,FreeDOS,SSD,512.0,HD,RX 6800,37134.65
Lenovo,AMD Ryzen 7,4.0,17.3,8.3,1.33,FreeDOS,SSD,1.0,HD,GTX 1650,41651.049999999996
Samsung,Intel i5,16.0,15.6,5.3,3.2,FreeDOS,HDD,1.0,4K,GTX 1650,65307.9
Lenovo,AMD Ryzen 7,16.0,15.6,8.7,2.57,macOS,SSD,512.0,HD,GTX 1650,47167.05
Acer,AMD Ryzen 5,64.0,13.3,6.2,1.61,FreeDOS,SSD,1.0,HD,RX 6800,70204.05
Dell,AMD Ryzen 9,8.0,13.3,11.2,2.28,macOS,SSD,1.0,Full HD,RTX 2060,61822.95
HP,Intel i3,16.0,15.6,9.9,3.3,macOS,SSD,512.0,Full HD,RTX 3080,41464.5
Samsung,AMD Ryzen 7,32.0,14.0,11.6,3.26,FreeDOS,SSD,512.0,Full HD,RTX 2060,66326.75
Samsung,Intel i3,64.0,13.3,10.9,2.9,FreeDOS,SSD,256.0,HD,RTX 3060,54367.25
Apple,AMD Ryzen 5,32.0,15.6,8.4,3.43,Linux,HDD,1.0,2K,RTX 2060,93999.15000000001
Acer,Intel i9,8.0,15.6,10.5,1.21,Linux,HDD,1.0,Full HD,GTX 1650,51472.4
Apple,Intel i3,64.0,16.0,8.2,1.38,macOS,HDD,1.0,4K,RX 6600,156553.95
Dell,AMD Ryzen 3,4.0,15.6,7.8,2.65,macOS,HDD,1.0,4K,RTX 3060,44766.4
HP,AMD Ryzen 3,16.0,13.3,4.2,1.77,macOS,SSD,2.0,Full HD,,20666.45
MSI,AMD Ryzen 9,64.0,14.0,7.4,2.9,FreeDOS,SSD,1.0,HD,RTX 3080,149796.15000000002
Apple,AMD Ryzen 7,8.0,17.3,4.2,2.47,Windows,SSD,2.0,4K,RTX 2060,115028.55
Dell,AMD Ryzen 7,32.0,15.6,11.0,1.8,Windows,HDD,1.0,2K,RX 6600,78875.3
Microsoft,Intel i5,4.0,17.3,,2.87,Linux,SSD,512.0,HD,GTX 1650,30620.45
Acer,AMD Ryzen 3,4.0,13.3,4.9,2.95,macOS,SSD,256.0,4K,RX 6800,45634.75
Acer,Intel i3,8.0,14.0,6.5,2.31,Windows,SSD,256.0,4K,GTX 1650,47604.9
HP,AMD Ryzen 3,64.0,16.0,,2.83,macOS,SSD,1.0,HD,RTX 3060,66568.95
Razer,Intel i9,64.0,15.6,6.0,2.07,macOS,SSD,256.0,Full HD,RTX 3060,207209.45
Asus,,32.0,14.0,5.5,2.27,FreeDOS,SSD,2.0,HD,,43285.9
Microsoft,AMD Ryzen 5,32.0,13.3,8.3,1.29,macOS,HDD,1.0,2K,GTX 1650,58839.2
Razer,AMD Ryzen 9,32.0,16.0,7.8,2.68,macOS,SSD,256.0,HD,RTX 3080,122416.7
Asus,Intel i5,4.0,17.3,9.4,2.25,FreeDOS,SSD,256.0,HD,,25626.65
Asus,Intel i3,64.0,14.0,10.5,3.05,Windows,HDD,1.0,HD,,32009.6
Lenovo,Intel i7,64.0,14.0,11.5,2.1,Windows,SSD,512.0,Full HD,GTX 1650,101774.40000000001
MSI,AMD Ryzen 9,64.0,16.0,5.9,1.53,Windows,SSD,256.0,2K,GTX 1650,249501.69999999998
Acer,Intel i7,4.0,13.3,10.7,2.45,Windows,SSD,1.0,2K,RTX 2060,46310.950000000004
Lenovo,Intel i7,32.0,13.3,10.4,2.05,Linux,SSD,1.0,4K,RTX 3080,112163.45
Microsoft,AMD Ryzen 3,4.0,17.3,8.2,2.72,Windows,SSD,256.0,4K,RTX 3080,50790.25
Razer,Intel i7,8.0,14.0,7.9,3.09,FreeDOS,HDD,1.0,Full HD,RTX 2060,54496.75
Samsung,Intel i9,32.0,16.0,9.9,3.25,Linux,SSD,256.0,HD,RX 6800,88320.40000000001
Samsung,AMD Ryzen 7,16.0,14.0,11.8,2.98,Windows,SSD,256.0,HD,GTX 1650,44170.35
Asus,AMD Ryzen 7,4.0,14.0,11.2,1.51,FreeDOS,SSD,512.0,Full HD,GTX 1650,38578.05
HP,AMD Ryzen 9,16.0,17.3,10.0,3.4,Windows,SSD,1.0,HD,RTX 3080,68425.7
Apple,AMD Ryzen 5,8.0,15.6,5.7,3.41,Linux,SSD,1.0,Full HD,GTX 1650,62370.35
Lenovo,AMD Ryzen 9,16.0,17.3,4.7,2.74,FreeDOS,SSD,2.0,2K,RTX 2060,97374.9
Acer,Intel i3,4.0,17.3,8.2,1.84,FreeDOS,SSD,256.0,HD,GTX 1650,21119.35
HP,AMD Ryzen 7,8.0,16.0,5.4,1.26,Windows,HDD,1.0,Full HD,RX 6800,45718.4
Samsung,AMD Ryzen 7,64.0,15.6,8.8,2.03,FreeDOS,SSD,256.0,Full HD,RX 6800,109218.2
HP,Intel i7,4.0,16.0,4.0,2.64,FreeDOS,SSD,256.0,2K,GTX 1650,57321.6
Apple,AMD Ryzen 5,16.0,13.3,9.1,1.88,Linux,SSD,256.0,2K,RTX 3080,81011.35
Razer,AMD Ryzen 5,16.0,17.3,6.6,2.06,FreeDOS,SSD,1.0,Full HD,RTX 3060,69724.90000000001
Asus,AMD Ryzen 7,4.0,14.0,9.4,1.73,Windows,SSD,512.0,Full HD,RTX 3080,40413.100000000006
Microsoft,Intel i5,4.0,16.0,10.5,2.5,macOS,SSD,512.0,Full HD,,28822.15
Lenovo,AMD Ryzen 9,32.0,15.6,4.2,1.25,macOS,SSD,512.0,4K,,113565.55
Acer,Intel i9,32.0,17.3,5.3,1.86,FreeDOS,SSD,1.0,2K,RTX 3060,125198.5
Samsung,AMD Ryzen 5,32.0,17.3,8.9,2.52,macOS,SSD,512.0,2K,RX 6600,79446.84999999999
MSI,Intel i3,16.0,16.0,9.8,2.83,Linux,HDD,1.0,HD,,25191.25
Lenovo,AMD Ryzen 7,8.0,16.0,6.2,3.25,macOS,SSD,1.0,4K,RX 6600,79044.0
Lenovo,Intel i5,8.0,13.3,6.7,1.32,Linux,SSD,1.0,HD,RTX 2060,31220.7
HP,AMD Ryzen 7,32.0,14.0,6.9,2.43,Windows,HDD,1.0,HD,RX 6800,52901.450000000004
Samsung,AMD Ryzen 3,64.0,13.3,8.3,1.99,FreeDOS,SSD,512.0,HD,RTX 3060,61775.35
MSI,Intel i3,4.0,17.3,6.9,2.35,FreeDOS,SSD,2.0,2K,RTX 3060,44402.4
Dell,Intel i9,16.0,14.0,10.7,3.46,FreeDOS,SSD,512.0,2K,RTX 2060,82213.6
Dell,Intel i7,8.0,17.3,7.0,1.52,FreeDOS,SSD,2.0,Full HD,,32431.7
MSI,Intel i3,16.0,14.0,7.2,,Linux,HDD,1.0,Full HD,RTX 3060,40671.75
MSI,AMD Ryzen 7,8.0,15.6,6.5,3.49,Windows,SSD,512.0,4K,GTX 1650,107580.55
Asus,AMD Ryzen 3,8.0,17.3,11.2,2.12,macOS,SSD,2.0,Full HD,RTX 2060,28817.25
Apple,AMD Ryzen 9,16.0,17.3,11.5,3.2,FreeDOS,SSD,1.0,4K,RX 6800,185492.65
Razer,AMD Ryzen 3,4.0,15.6,8.3,1.45,Windows,HDD,1.0,Full HD,RX 6600,37660.35
Acer,Intel i9,64.0,13.3,7.5,2.1,macOS,SSD,512.0,HD,GTX 1650,115486.35
Apple,Intel i9,16.0,13.3,7.5,2.22,Windows,SSD,512.0,Full HD,RX 6600,108662.75
Apple,AMD Ryzen 5,8.0,16.0,11.4,1.93,Linux,HDD,1.0,Full HD,RX 6600,46901.4
Lenovo,AMD Ryzen 7,8.0,15.6,5.2,1.24,Windows,SSD,512.0,Full HD,RTX 3080,53286.450000000004
Lenovo,AMD Ryzen 7,4.0,17.3,11.9,1.74,Windows,SSD,256.0,4K,RX 6600,72074.1
Razer,AMD Ryzen 7,8.0,17.3,10.0,2.11,FreeDOS,SSD,1.0,Full HD,RTX 2060,70588.34999999999
Razer,Intel i7,64.0,14.0,6.4,3.49,Windows,SSD,512.0,Full HD,GTX 1650,144292.75
Lenovo,AMD Ryzen 3,8.0,15.6,5.9,3.41,Linux,SSD,256.0,2K,RX 6800,36076.95
Acer,AMD Ryzen 3,64.0,15.6,10.5,3.09,macOS,HDD,1.0,HD,RX 6800,55633.9
Razer,Intel i5,8.0,14.0,10.1,2.37,Windows,HDD,1.0,HD,RX 6600,29906.8
MSI,AMD Ryzen 7,16.0,17.3,9.0,2.03,Linux,SSD,512.0,2K,GTX 1650,95571.35
MSI,AMD Ryzen 5,16.0,13.3,5.2,2.75,Linux,SSD,1.0,2K,RTX 2060,70068.6
Razer,AMD Ryzen 9,8.0,14.0,10.4,2.8,Windows,SSD,1.0,4K,RTX 2060,138300.75
HP,Intel i7,16.0,16.0,11.7,2.52,Linux,SSD,512.0,4K,RTX 3060,97570.55
Lenovo,AMD Ryzen 5,32.0,17.3,11.5,3.43,FreeDOS,SSD,512.0,2K,RX 6800,73558.45
HP,AMD Ryzen 9,8.0,15.6,7.8,1.79,Windows,HDD,1.0,HD,RTX 2060,46928.7
Lenovo,AMD Ryzen 5,32.0,16.0,11.3,2.28,macOS,SSD,512.0,4K,RTX 3080,99558.55
Apple,AMD Ryzen 5,8.0,15.6,5.5,3.23,macOS,SSD,2.0,Full HD,GTX 1650,54552.75
Apple,AMD Ryzen 9,16.0,14.0,12.0,1.93,Windows,SSD,256.0,Full HD,,67746.34999999999
Acer,AMD Ryzen 9,4.0,14.0,8.8,1.99,macOS,SSD,512.0,Full HD,RTX 3080,49532.700000000004
Lenovo,AMD Ryzen 9,8.0,14.0,4.9,3.04,FreeDOS,SSD,256.0,HD,RTX 2060,53761.049999999996
Asus,,4.0,15.6,10.2,3.38,macOS,SSD,512.0,2K,RX 6600,31809.050000000003
Apple,AMD Ryzen 9,16.0,15.6,4.9,2.32,Linux,SSD,512.0,4K,RTX 3080,193085.2
HP,AMD Ryzen 9,16.0,13.3,8.6,2.9,Linux,SSD,256.0,HD,RTX 3080,53947.95
MSI,AMD Ryzen 7,8.0,16.0,6.0,2.12,Linux,SSD,1.0,4K,RTX 3060,107437.75
